Word,month,frequency,year
新能源汽车,6,4,2018
机器人,6,5,2018
海洋工程,6,1,2018
生物医药,6,1,2018
电力,6,4,2018
航天,6,5,2018
轨道交通,6,3,2018
信息技术,7,5,2018
农业机械,7,1,2018
新材料,7,2,2018
新能源汽车,7,5,2018
机器人,7,3,2018
海洋工程,7,0,2018
生物医药,7,1,2018
电力,7,4,2018
航天,7,1,2018
轨道交通,7,3,2018
信息技术,8,3,2018
农业机械,8,0,2018
新材料,8,7,2018
新能源汽车,8,4,2018
机器人,8,8,2018
海洋工程,8,1,2018
生物医药,8,1,2018
电力,8,8,2018
航天,8,2,2018
轨道交通,8,2,2018
信息技术,9,1,2018
农业机械,9,1,2018
新材料,9,2,2018
新能源汽车,9,0,2018
机器人,9,1,2018
海洋工程,9,0,2018
生物医药,9,0,2018
电力,9,9,2018
航天,9,8,2018
轨道交通,9,1,2018
信息技术,10,3,2018
农业机械,10,2,2018
新材料,10,1,2018
新能源汽车,10,3,2018
机器人,10,4,2018
海洋工程,10,0,2018
生物医药,10,1,2018
电力,10,9,2018
航天,10,10,2018
轨道交通,10,0,2018
信息技术,11,4,2018
农业机械,11,0,2018
新材料,11,2,2018
新能源汽车,11,4,2018
机器人,11,8,2018
海洋工程,11,0,2018
生物医药,11,3,2018
电力,11,11,2018
航天,11,13,2018
轨道交通,11,1,2018
信息技术,12,5,2018
农业机械,12,3,2018
新材料,12,0,2018
新能源汽车,12,4,2018
机器人,12,1,2018
海洋工程,12,0,2018
生物医药,12,1,2018
电力,12,6,2018
航天,12,8,2018
轨道交通,12,0,2018
信息技术,1,1,2019
农业机械,1,0,2019
新材料,1,0,2019
新能源汽车,1,3,2019
机器人,1,5,2019
生物医药,1,1,2019
电力,1,8,2019
航天,1,12,2019
轨道交通,1,3,2019
信息技术,2,1,2019
农业机械,2,0,2019
新材料,2,1,2019
新能源汽车,2,1,2019
机器人,2,3,2019
生物医药,2,0,2019
电力,2,3,2019
航天,2,6,2019
轨道交通,2,1,2019
信息技术,3,2,2019
农业机械,3,1,2019
新材料,3,2,2019
新能源汽车,3,0,2019
机器人,3,3,2019
生物医药,3,1,2019
电力,3,8,2019
航天,3,9,2019
轨道交通,3,0,2019
信息技术,4,5,2019
农业机械,4,0,2019
新材料,4,0,2019
新能源汽车,4,2,2019
机器人,4,3,2019
生物医药,4,2,2019
电力,4,8,2019
航天,4,6,2019
轨道交通,4,2,2019
信息技术,5,7,2019
农业机械,5,0,2019
新材料,5,4,2019
新能源汽车,5,5,2019
机器人,5,7,2019
生物医药,5,2,2019
电力,5,4,2019
航天,5,6,2019
轨道交通,5,0,2019
信息技术,6,7,2019
农业机械,6,0,2019
新材料,6,1,2019
新能源汽车,6,1,2019
机器人,6,5,2019
生物医药,6,3,2019
电力,6,7,2019
航天,6,9,2019
轨道交通,6,2,2019
信息技术,7,3,2019
农业机械,7,1,2019
新材料,7,3,2019
新能源汽车,7,4,2019
机器人,7,2,2019
生物医药,7,1,2019
电力,7,10,2019
航天,7,9,2019
轨道交通,7,1,2019
信息技术,8,4,2019
农业机械,8,0,2019
新材料,8,0,2019
新能源汽车,8,1,2019
机器人,8,3,2019
生物医药,8,3,2019
电力,8,3,2019
航天,8,9,2019
轨道交通,8,0,2019
信息技术,9,1,2019
农业机械,9,0,2019
新材料,9,3,2019
新能源汽车,9,4,2019
机器人,9,4,2019
生物医药,9,4,2019
电力,9,6,2019
航天,9,7,2019
轨道交通,9,0,2019
信息技术,10,4,2019
农业机械,10,0,2019
新材料,10,0,2019
新能源汽车,10,1,2019
机器人,10,3,2019
生物医药,10,0,2019
电力,10,7,2019
航天,10,2,2019
轨道交通,10,1,2019
信息技术,11,4,2019
农业机械,11,0,2019
新材料,11,0,2019
新能源汽车,11,2,2019
机器人,11,3,2019
生物医药,11,1,2019
电力,11,2,2019
航天,11,6,2019
轨道交通,11,0,2019
信息技术,12,3,2019
农业机械,12,0,2019
新材料,12,1,2019
新能源汽车,12,1,2019
机器人,12,2,2019
生物医药,12,0,2019
电力,12,4,2019
航天,12,10,2019
轨道交通,12,2,2019
信息技术,1,1,2020
农业机械,1,1,2020
新材料,1,0,2020
新能源汽车,1,0,2020
机器人,1,0,2020
海洋工程,1,0,2020
生物医药,1,1,2020
电力,1,3,2020
航天,1,9,2020
轨道交通,1,1,2020
信息技术,2,1,2020
农业机械,2,1,2020
新材料,2,1,2020
新能源汽车,2,3,2020
机器人,2,3,2020
海洋工程,2,0,2020
生物医药,2,3,2020
电力,2,13,2020
航天,2,5,2020
轨道交通,2,0,2020
信息技术,3,4,2020
农业机械,3,0,2020
新材料,3,2,2020
新能源汽车,3,1,2020
机器人,3,4,2020
海洋工程,3,0,2020
生物医药,3,3,2020
电力,3,8,2020
航天,3,6,2020
轨道交通,3,7,2020
信息技术,4,3,2020
农业机械,4,1,2020
新材料,4,2,2020
新能源汽车,4,7,2020
机器人,4,3,2020
海洋工程,4,0,2020
生物医药,4,4,2020
电力,4,4,2020
航天,4,7,2020
轨道交通,4,3,2020
信息技术,5,4,2020
农业机械,5,0,2020
新材料,5,5,2020
新能源汽车,5,3,2020
机器人,5,1,2020
海洋工程,5,0,2020
生物医药,5,0,2020
电力,5,1,2020
航天,5,10,2020
轨道交通,5,0,2020
